,uuid,KEY,City,Site,Sex_HH,ObsHandWashPLACE,ObsHandWashSOAP,ObsHandWashWATER,ToiletFacility,ToiletFacilityTYPE,ToiletFacilityTYPE_Dry,ToiletFacilityTYPE_Flush,ToiletFacilitySHARE,ToiletROOF,ToiletFacilityCLEAN,ToiletFacilitySAFE,StreetFood,dist2wc,HH_Recor_2_lag,HH_Recor_2_std,b_area,NN_100,n_blg_cc,n_blg_ccM,n_CAR,n_CARM,n_mn_Bdev,n_mn_BdevM,WCdirtyS
816,4add689d7a314c899ba5137cc65e8265,uuid:befcd601-05e2-4643-b4ed-47d957d8f76b,Nairobi,Mabatini,F,Obs_Fixed,SoapOrDeterg,Water_OK,Public,Flush,,Flush_piped,Y,,Clean,During_Day,0_1,11.130823922294029,1620.4450199012906,0.7020340251430315,125.0800713432831,234,0.554071651599505,0.456945874908541,0.573435220635156,0.671418007987947,3.345984757255863,2.414365174153169,0.0
817,4add689d7a314c899ba5137cc65e8265,uuid:9b61991e-b7d9-4387-841e-435c31564e24,Nairobi,Mabatini,M,,,,Own_YardPlot,Flush,,Flush_piped,Y,,Clean,Any_time,5_Or_More,0.0,1623.3463794496163,0.7978873092048442,59.59441092408719,173,0.468194383643244,0.475077423745044,0.206853040760536,0.584590769293206,5.910111899861988,2.477046696408823,0.0
818,4add689d7a314c899ba5137cc65e8265,uuid:9cb9da21-7bda-4abb-9341-be3c2726afd3,Nairobi,Mabatini,F,Obs_Mobile,None,Water_NOT_OK,Public,Flush,,Flush_piped,Y,,Clean,During_Day,2_4,30.251865961759115,1618.3293011509154,0.6321362454998122,70.23028015035408,315,0.323430927498187,0.462499841138653,0.808262253410854,0.688290145859786,6.421389716452687,2.65337006483789,0.0
819,de1472b6c9754103927d0d478c541e68,uuid:c2a772e1-381f-4dd9-b84e-80e45d78b6a3,Nairobi,Mabatini,F,,,,Own_YardPlot,Flush,,Flush_NA,Y,,Clean,Any_time,0_1,0.0,1619.0638469825633,0.6564037066967526,57.470549145639055,168,0.350469144994012,0.451208425797186,0.532966059521469,0.600280347684046,5.662698216108137,2.386369241728047,0.0
820,de1472b6c9754103927d0d478c541e68,uuid:4156a06b-3ae5-40b5-b9c6-22c31a6ddf7a,Nairobi,Mabatini,F,,,,Public,Flush,,Flush_piped,Y,,Clean,During_Day,0_1,28.066086100665377,,,57.89917060776336,303,0.583961868500624,0.468259869533532,0.753389763615648,0.68756746229564,4.503413002418288,2.525128862478083,0.0
821,4add689d7a314c899ba5137cc65e8265,uuid:360e72f9-4af1-44c8-8bae-1b5a3d022781,Nairobi,Mabatini,F,Obs_Mobile,SoapOrDeterg,Water_OK,Public,Flush,,Flush_river,Y,,Clean,During_Day,2_4,12.745157013432724,1612.1222453251457,0.42707145592611945,174.05949740554559,322,0.362882001283002,0.487105456043343,0.663348143610727,0.696934198581368,3.918092552424351,2.645821812557617,0.0
822,de1472b6c9754103927d0d478c541e68,uuid:d98db33d-e5a5-4c3f-b2aa-7c1402f0956b,Nairobi,Mabatini,F,,,,Own_YardPlot,Flush,,Flush_piped,Y,,Clean,Any_time,5_Or_More,0.0,1624.0378487650044,0.8207316356676465,370.54100505654947,229,0.376114895133141,0.464221955855845,0.847843444237084,0.655952024131113,9.05622948577831,2.459605099100037,0.0
823,4add689d7a314c899ba5137cc65e8265,uuid:9f9ed22d-361e-4318-beba-0802ada483c7,Nairobi,Mabatini,M,Obs_Mobile,SoapOrDeterg,Water_OK,Own_YardPlot,Flush,,Flush_river,Y,,Clean,Any_time,5_Or_More,0.0,1612.5494876706875,0.44118641866284275,235.67589854140977,237,0.192028864932887,0.467881597057927,0.756621391024533,0.698891659980669,0.525554754759078,2.179260460657107,1.0
824,4add689d7a314c899ba5137cc65e8265,uuid:0eed3c82-053a-4edc-8d91-2087c76fc1d6,Nairobi,Mabatini,F,,,,Public,Flush,,Flush_river,Y,,Dirty,During_Day,5_Or_More,34.85089621370036,1609.344558567368,0.3353039953982954,115.04770717681029,215,0.543599773784381,0.481300569956752,0.75733807580852,0.634586759602119,0.786963708561551,3.94339168238951,1.0
825,4add689d7a314c899ba5137cc65e8265,uuid:3afe6110-0edc-412e-a8a5-8a5f6438f132,Nairobi,Mabatini,M,Obs_Mobile,SoapOrDeterg,Water_OK,Own_YardPlot,DryOrCompost,Dry_FreshLife,,Y,,Clean,Any_time,2_4,0.0,1605.0858608707863,0.19460783098137266,80.7416317791746,218,0.514733440194635,0.466789214049486,0.853372173606518,0.627670576178615,1.497011520072268,4.313157469260327,0.0
